id;title;description;start_date;end_date;type;salary
1;Tuna integrated deposit;holistic SAS;2021-11-16T05:51:47;2021-11-16T07:28:10;85381;63098
2;SDD;Fresh USB hack;2021-11-16T07:24:27;2021-11-16T12:19:05;45970;55507
3;Gambia monetize;Bedfordshire strategic;2021-11-16T04:37:03;2021-11-15T20:32:32;31594;22896
4;Corporate connecting up;Bedfordshire hack portals;2021-11-16T17:09:21;2021-11-16T17:38:55;74734;64615
5;visionary Auto;robust;2021-11-16T12:09:58;2021-11-15T19:59:44;92941;94531
6;RSS;Card Bedfordshire;2021-11-16T10:58:52;2021-11-16T06:58:09;12228;8997
7;Lats;Bedfordshire deposit;2021-11-16T14:41:49;2021-11-15T20:27:03;53083;61543
8;auxiliary Direct mint;transform PCI Cuban;2021-11-16T16:04:13;2021-11-15T21:49:34;69892;58746
9;Shoal;modular firmware;2021-11-16T10:25:37;2021-11-15T22:30:47;62878;48944
10;Organic Direct Movies;Berkshire;2021-11-16T15:06:38;2021-11-16T06:11:27;1451;10341
